"Source","Portal / Dataset","Type / Format","API Availability","Notes"
"CGWB","Ground Water Level Monitoring page (CGWB) –https://cgwb.gov.in/en/ground-water-level-monitoring","Water-level time series tables; links to WIMS","No open REST API; WIMS is login-based","Download historical water levels and documentation; telemetry data handled via WIMS."
"CGWB → India-WRIS","Ground Water Data Access –https://cgwb.gov.in/old_website/GW-data-access.html","Redirect to India-WRIS groundwater module","No public JSON API documented","Use WRIS to query and export groundwater level data for CGWB stations."
"CGWB","Freeware for Groundwater Data Analysis –https://cgwb.gov.in/en/freewares-groundwater-data-analysis","Standalone Windows tools","Not an API","Use for analysis, not for data fetch; can complement your dashboard tools section."
"India-WRIS","India-WRIS WebGIS –https://indiawris.gov.in/wris/","WebGIS with CSV/Excel downloads; GIS layers","No official open REST API documented","Provides groundwater level, aquifer maps, and 130+ layers via interactive interface and downloads."
"India-WRIS / CWC","WRIS description –https://www.cwc.gov.in/en/water-resources-information-system-wris","Documentation","Not an API","Mentions telemetry modules and automatic report generation for WRIS."
"NWIC","Water Data –https://nwic.gov.in/data","Portal for water-related datasets","No detailed public groundwater API docs","Entry point for WRIS/WIMS-related data; access details vary by module."
"IN-GRES","GEC Dashboard –https://ingres.iith.ac.in","Web dashboard for groundwater resource assessment outputs","Not documented as public API","Useful for derived indicators and visualisations related to groundwater resources."
"CPCB","NWMP Water Quality Data –https://cpcb.nic.in/nwmp-data/","Excel/CSV downloads for water quality","No REST API on CPCB site","Use for surface water and some groundwater quality time series, station-wise."
"CPCB via OGD","Surface Water Quality March 2021 –https://www.data.gov.in/resource/surface-water-quality-march-2021-cpcb","CSV via OGD","This resource: API not available","Example of CPCB dataset on OGD; check each resource for API status."
"Multi-agency (CGWB, CPCB, etc.)","Ground Water Quality Stations Shapefile –https://www.data.gov.in/resource/shape-file-ground-water-quality-stations","Shapefile ZIP (.shp, .shx, .dbf, etc.)","API not available","Gives station locations and attributes for all groundwater quality stations across India."